"","id","session","query","annotation","query_state"
"2003",2005,"trec-2012-60","attic insulation airconditioning costs","[[\http://dbpedia.org/resource/Attic\""] [\""http://dbpedia.org/resource/Building_insulation\""] [\""http://dbpedia.org/resource/Air_conditioning\""] [\""http://dbpedia.org/resource/Cost\""]]""","WS"
"2005",2007,"trec-2012-61","Indian wedding customs","[[\http://dbpedia.org/resource/Indian_people\""] [\""http://dbpedia.org/resource/Wedding\""] [\""http://dbpedia.org/resource/Convention_(norm)\""]]""","WS"
"2007",2009,"trec-2012-62","Indian wedding customs","[[\http://dbpedia.org/resource/Indian_people\""] [\""http://dbpedia.org/resource/Wedding\""] [\""http://dbpedia.org/resource/Convention_(norm)\""]]""","WS"
"2009",2011,"trec-2012-63","buddhist wedding rituals","[[\http://dbpedia.org/resource/Buddhism\""] [\""http://dbpedia.org/resource/Wedding\""] [\""http://dbpedia.org/resource/Ritual\""]]""","WS"
"2010",2012,"trec-2012-63","shinto wedding rituals","[[\http://dbpedia.org/resource/Shinto\""] [\""http://dbpedia.org/resource/Wedding\""] [\""http://dbpedia.org/resource/Ritual\""]]""","WS"
"2012",2014,"trec-2012-64","Sunspots Environmental effects","[[\http://dbpedia.org/resource/Sunspot\""] [\""http://dbpedia.org/resource/Natural_environment\""] [\""http://dbpedia.org/resource/Result\""]]""","WS"
"2013",2015,"trec-2012-64","Sunspot life cycle","[[\http://dbpedia.org/resource/Sunspot\""]]""","WS"
"2014",2016,"trec-2012-64","Are sunspots local burnouts","[[\http://dbpedia.org/resource/Sunspot\""] [\""http://dbpedia.org/resource/Local\""]]""","WS"
"2015",2017,"trec-2012-64","How do sunspots effect us","[[\http://dbpedia.org/resource/Sunspot\""] [\""http://dbpedia.org/resource/Result\""] [\""http://dbpedia.org/resource/Human\""]]""","WS"
"2029",2031,"trec-2012-71","dehumidifiers technical specifications","[[\http://dbpedia.org/resource/Dehumidifier\""] [\""http://dbpedia.org/resource/Specification_(technical_standard)\""]]""","WS"
"2037",2039,"trec-2012-74","dehumidifier comparison which?","[[\http://dbpedia.org/resource/Dehumidifier\""]]""","WS"
"2062",2064,"trec-2012-85","scientific glass blowing","[[\http://dbpedia.org/resource/Scientific_glassblowing\""]]""","WS"
"2065",2067,"trec-2012-86","glass blowing science","[[\http://dbpedia.org/resource/Glassblowing\""] [\""http://dbpedia.org/resource/Science\""]]""","WS"
"2070",2072,"trec-2012-88","hermetic sealing services","[[\http://dbpedia.org/resource/Hermetic_seal\""] [\""http://dbpedia.org/resource/Service_(economics)\""]]""","WS"
"2073",2075,"trec-2012-89","sample tube sealing expert","[[\http://dbpedia.org/resource/Test_tube\""] [\""http://dbpedia.org/resource/Seal_(mechanical)\""] [\""http://dbpedia.org/resource/Expert\""]]""","WS"
"2076",2078,"trec-2012-90","autoimmune disease sport","[[\http://dbpedia.org/resource/Autoimmune_disease\""] [\""http://dbpedia.org/resource/Sport\""]]""","WS"
"2080",2082,"trec-2012-91","collagen vascular disease active lifestyle","[[\http://dbpedia.org/resource/Vascular_disease\""] [\""http://dbpedia.org/resource/Physical_exercise\""] [\""http://dbpedia.org/resource/Lifestyle_(sociology)\""] [\""http://dbpedia.org/resource/Lifestyle_(sociology)\""]]""","WS"
"2081",2083,"trec-2012-91","collagen vascular disease sport","[[\http://dbpedia.org/resource/Vascular_disease\""] [\""http://dbpedia.org/resource/Sport\""]]""","WS"
"2088",2090,"trec-2012-93","connecticut fire department","[[\http://dbpedia.org/resource/Connecticut\""] [\""http://dbpedia.org/resource/Fire_department\""]]""","WS"
"2091",2093,"trec-2012-94","\connecticut fire academy\"" fireman""","[[\http://dbpedia.org/resource/National_Fire_Academy\""] [\""http://dbpedia.org/resource/Firefighter\""]]""","WS"
"2101",2103,"trec-2012-97","\Connecticut Fire Academy\"" skills""","[[\http://dbpedia.org/resource/National_Fire_Academy\""] [\""http://dbpedia.org/resource/Skill\""]]""","WS"
"2107",2109,"trec-2013-11","quiting smoking side effecs","[[\http://dbpedia.org/resource/Smoking_cessation\""] [\""http://dbpedia.org/resource/Side_effect\""]]""","WS"
"2109",2111,"trec-2013-11","quiting smoking using hypnosis","[[\http://dbpedia.org/resource/Smoking_cessation\""] [\""http://dbpedia.org/resource/Hypnosis\""]]""","WS"
"2110",2112,"trec-2013-11","quiting smoking help","[[\http://dbpedia.org/resource/Smoking_cessation\""] [\""http://dbpedia.org/resource/Help\""]]""","WS"
"2112",2114,"trec-2013-12","kansas city hotels airport","[[\http://dbpedia.org/resource/Kansas_City_metropolitan_area\""] [\""http://dbpedia.org/resource/Hotel\""] [\""http://dbpedia.org/resource/Kansas_City_International_Airport\""] [\""http://dbpedia.org/resource/Charles_B._Wheeler_Downtown_Airport\""]]""","WS"
"2113",2115,"trec-2013-12","kansas city chiefs fixtures","[[\http://dbpedia.org/resource/Kansas_City_Chiefs\""]]""","WS"
"2115",2117,"trec-2013-13","kansas city airport hotels","[[\http://dbpedia.org/resource/Kansas_City_Missouri\""] [\""http://dbpedia.org/resource/Airport\""]]""","WS"
"2116",2118,"trec-2013-13","kansas city casino","[[\http://dbpedia.org/resource/Kansas_City_Missouri\""] [\""http://dbpedia.org/resource/Casino\""]]""","WS"
"2117",2119,"trec-2013-13","kansas city zoo","[[\http://dbpedia.org/resource/Kansas_City_Missouri\""] [\""http://dbpedia.org/resource/Zoo\""]]""","WS"
"2118",2120,"trec-2013-13","kansas city state parks","[[\http://dbpedia.org/resource/Kansas_City_Missouri\""]]""","WS"
"2119",2121,"trec-2013-13","kansas city wikipedia","[[\http://dbpedia.org/resource/Kansas_City_Missouri\""] [\""http://dbpedia.org/resource/Wikipedia\""]]""","WS"
"2120",2122,"trec-2013-13","kansas city history","[[\http://dbpedia.org/resource/Kansas_City_Missouri\""] [\""http://dbpedia.org/resource/History\""]]""","WS"
"2121",2123,"trec-2013-13","kansas city things to do","[[\http://dbpedia.org/resource/Kansas_City_Missouri\""] [\""http://dbpedia.org/resource/Tourist_attraction\""]]""","WS"
"2124",2126,"trec-2013-14","what to take on a road trip","[[\http://dbpedia.org/resource/Road_trip\""]]""","WS"
"2127",2129,"trec-2013-15","planning a road trip","[[\http://dbpedia.org/resource/Planning\""] [\""http://dbpedia.org/resource/Road_trip\""]]""","WS"
"2129",2131,"trec-2013-16","training high school teacher free professional development","[[\http://dbpedia.org/resource/Training\""] [\""http://dbpedia.org/resource/High_school\""] [\""http://dbpedia.org/resource/Teacher\""] [\""http://dbpedia.org/resource/Gratis\""] [\""http://dbpedia.org/resource/Professional_development\""]]""","WS"
"2133",2135,"trec-2013-17","jp morgan largest data center","[[\http://dbpedia.org/resource/JPMorgan_Chase\""] [\""http://dbpedia.org/resource/Data_center\""]]""","WS"
"2134",2136,"trec-2013-17","data center compare microsoft jp morgan","[[\http://dbpedia.org/resource/Data_center\""] [\""http://dbpedia.org/resource/Microsoft\""] [\""http://dbpedia.org/resource/JPMorgan_Chase\""]]""","WS"
"2140",2142,"trec-2013-18","JP Morgan Chase overview","[[\http://dbpedia.org/resource/JPMorgan_Chase\""]]""","WS"
"2141",2143,"trec-2013-18","JP Morgan Chase annual report","[[\http://dbpedia.org/resource/JPMorgan_Chase\""] [\""http://dbpedia.org/resource/Annual_report\""]]""","WS"
"2146",2148,"trec-2013-19","JP Morgan Chase computational scientist profile","[[\http://dbpedia.org/resource/JPMorgan_Chase\""] [\""http://dbpedia.org/resource/Computational_scientist\""]]""","WS"
"2148",2150,"trec-2013-19","JP Morgan data center news","[[\http://dbpedia.org/resource/JPMorgan_Chase\""] [\""http://dbpedia.org/resource/Data_center\""] [\""http://dbpedia.org/resource/News\""]]""","WS"
"2152",2154,"trec-2013-20","march madness 2012 runner up","[[\http://dbpedia.org/resource/2011\\u201312_Kansas_Jayhawks_men's_basketball_team\""] [\""http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""] [\""http://dbpedia.org/resource/Runner-up\""]]""","WS"
"2153",2155,"trec-2013-20","march madness 2012 host city","[[\http://dbpedia.org/resource/New_Orleans\""] [\""http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""] [\""http://dbpedia.org/resource/City\""]]""","WS"
"2154",2156,"trec-2013-20","march madness 2012 host stadium","[[\http://dbpedia.org/resource/Mercedes-Benz_Superdome\""] [\""http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""] [\""http://dbpedia.org/resource/Stadium\""]]""","WS"
"2155",2157,"trec-2013-20","march madness 2012 final four","[[\http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""] [\""http://dbpedia.org/resource/Final_four\""]]""","WS"
"2156",2158,"trec-2013-20","march madness 2012 number teams","[[\http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""] [\""http://dbpedia.org/resource/Number\""] [\""http://dbpedia.org/resource/Team\""]]""","WS"
"2157",2159,"trec-2013-20","march madness slang","[[\http://dbpedia.org/resource/NCAA_Men's_Division_I_Basketball_Championship\""] [\""http://dbpedia.org/resource/Slang\""]]""","WS"
"2159",2161,"trec-2013-20","march madness semi finals","[[\http://dbpedia.org/resource/NCAA_Men's_Division_I_Basketball_Championship\""]]""","WS"
"2167",2169,"trec-2013-21","NCAA tournament \march madness\"" 2012 championship runner-up""","[[\http://dbpedia.org/resource/2011\\u201312_Kansas_Jayhawks_men's_basketball_team\""] [\""http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""] [\""http://dbpedia.org/resource/Championship\""] [\""http://dbpedia.org/resource/Runner-up\""]]""","WS"
"2168",2170,"trec-2013-21","won NCAA \march madness\"" 2012""","[[\http://dbpedia.org/resource/Champion\""] [\""http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""]]""","WS"
"2169",2171,"trec-2013-21","NCAA \march madness\"" 2012 results""","[[\http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""] [\""http://dbpedia.org/resource/Result\""]]""","WS"
"2170",2172,"trec-2013-21","NCAA \march madness\"" 2012 broadcast""","[[\http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""] [\""http://dbpedia.org/resource/Broadcasting\""]]""","WS"
"2171",2173,"trec-2013-21","NCAA \march madness\"" 2012 semifinals sport news""","[[\http://dbpedia.org/resource/2012_NCAA_Men's_Division_I_Basketball_Tournament\""] [\""http://dbpedia.org/resource/Sport\""] [\""http://dbpedia.org/resource/News\""]]""","WS"
"2179",2181,"trec-2013-22","Isabelle \face transplants\""""","[[\http://dbpedia.org/resource/Isabelle_Dinoire\""] [\""http://dbpedia.org/resource/Face_transplant\""]]""","WS"
"2182",2184,"trec-2013-22","first \full face transplant\"" Oscar""","[[\http://dbpedia.org/resource/First\""] [\""http://dbpedia.org/resource/Face_transplant\""]]""","WS"
"2186",2188,"trec-2013-23","dulles hotels","[[\http://dbpedia.org/resource/Washington_Dulles_International_Airport\""] [\""http://dbpedia.org/resource/Hotel\""]]""","WS"
"2187",2189,"trec-2013-23","dulles metro stop","[[\http://dbpedia.org/resource/Washington_Dulles_International_Airport\""]]""","WS"
"2189",2191,"trec-2013-24","dulles airport virginia","[[\http://dbpedia.org/resource/Washington_Dulles_International_Airport\""] [\""http://dbpedia.org/resource/Virginia\""]]""","WS"
"2195",2197,"trec-2013-26","Conductor of the boston pops orchestra","[[\http://dbpedia.org/resource/Conducting\""] [\""http://dbpedia.org/resource/Boston_Pops_Orchestra\""]]""","WS"
"2197",2199,"trec-2013-26","Information regarding the Boston Pops Conductor","[[\http://dbpedia.org/resource/Information\""] [\""http://dbpedia.org/resource/Boston_Pops_Orchestra\""] [\""http://dbpedia.org/resource/Conducting\""]]""","WS"
"2198",2200,"trec-2013-26","Information regarding the Boston Pops Manager","[[\http://dbpedia.org/resource/Information\""] [\""http://dbpedia.org/resource/Boston_Pops_Orchestra\""]]""","WS"
"2201",2203,"trec-2013-27","jeopardy video","[[\http://dbpedia.org/resource/Jeopardy!\""] [\""http://dbpedia.org/resource/Video\""]]""","WS"
"2210",2212,"trec-2013-31","churchill downs horse racing park","[[\http://dbpedia.org/resource/Churchill_Downs\""]]""","WS"
"2212",2214,"trec-2013-31","\churchill downs\"" horse racing schedule""","[[\http://dbpedia.org/resource/Churchill_Downs\""] [\""http://dbpedia.org/resource/Horse_racing\""]]""","WS"
"2218",2220,"trec-2013-32","Churchill downs schedule","[[\http://dbpedia.org/resource/Churchill_Downs\""]]""","WS"
"2220",2222,"trec-2013-32","Churchill downs seating","[[\http://dbpedia.org/resource/Churchill_Downs\""] [\""http://dbpedia.org/resource/Seating_assignment\""]]""","WS"
"2221",2223,"trec-2013-32","Churchill downs Kentucky derby museum","[[\http://dbpedia.org/resource/Churchill_Downs\""] [\""http://dbpedia.org/resource/Kentucky_Derby_Museum\""]]""","WS"
"2224",2226,"trec-2013-33","general schedule pay tables federal wage system","[[\http://dbpedia.org/resource/General_Schedule_(US_civil_service_pay_scale)\""] [\""http://dbpedia.org/resource/Federal_Wage_System\""]]""","WS"
"2225",2227,"trec-2013-33","general schedule pay tables \federal goverment\""""","[[\http://dbpedia.org/resource/General_Schedule_(US_civil_service_pay_scale)\""] [\""http://dbpedia.org/resource/Federation\""]]""","WS"
"2228",2230,"trec-2013-34","guide internet phone services","[[\http://dbpedia.org/resource/Guide_to_information_sources\""] [\""http://dbpedia.org/resource/Voice_over_IP\""]]""","WS"
"2232",2234,"trec-2013-35","internet phones voip reviews","[[\http://dbpedia.org/resource/Voice_over_IP\""] [\""http://dbpedia.org/resource/Review\""]]""","WS"
"2236",2238,"trec-2013-36","ip telefonijos paslaugos","[[\http://dbpedia.org/resource/Voice_over_IP\""] [\""http://dbpedia.org/resource/Lithuania\""]]""","WS"
"2239",2241,"trec-2013-36","ip telefonas","[[\http://dbpedia.org/resource/Voice_over_IP\""] [\""http://dbpedia.org/resource/Lithuania\""]]""","WS"
"2240",2242,"trec-2013-36","ip balso telefonija","[[\http://dbpedia.org/resource/Voice_over_IP\""] [\""http://dbpedia.org/resource/Lithuania\""]]""","WS"
"2241",2243,"trec-2013-36","voip telefonas","[[\http://dbpedia.org/resource/Voice_over_IP\""] [\""http://dbpedia.org/resource/Lithuania\""]]""","WS"
"2245",2247,"trec-2013-38","SUNY albany hospital location","[[\http://dbpedia.org/resource/University_at_Albany_SUNY\""] [\""http://dbpedia.org/resource/Hospital\""] [\""http://dbpedia.org/resource/Location_(geography)\""]]""","WS"
"2247",2249,"trec-2013-38","albany university hospital location","[[\http://dbpedia.org/resource/University_at_Albany_SUNY\""] [\""http://dbpedia.org/resource/Hospital\""] [\""http://dbpedia.org/resource/Location_(geography)\""]]""","WS"
"2250",2252,"trec-2013-39","number of suny colleges","[[\http://dbpedia.org/resource/State_University_of_New_York\""]]""","WS"
"2251",2253,"trec-2013-39","suny college bioinformatics degree","[[\http://dbpedia.org/resource/State_University_of_New_York\""] [\""http://dbpedia.org/resource/DNA\""] [\""http://dbpedia.org/resource/Academic_degree\""]]""","WS"
"2252",2254,"trec-2013-39","map suny albany hospital","[[\http://dbpedia.org/resource/Map\""] [\""http://dbpedia.org/resource/University_at_Albany_SUNY\""] [\""http://dbpedia.org/resource/Hospital\""]]""","WS"
"2255",2257,"trec-2013-40","gun control us government","[[\http://dbpedia.org/resource/Gun_control\""] [\""http://dbpedia.org/resource/Gun_politics_in_the_United_States\""] [\""http://dbpedia.org/resource/Government\""]]""","WS"
"2256",2258,"trec-2013-40","gun control current affairs","[[\http://dbpedia.org/resource/Gun_control\""] [\""http://dbpedia.org/resource/Current_affairs_(news_format)\""]]""","WS"
"2257",2259,"trec-2013-40","gun violence us","[[\http://dbpedia.org/resource/Gun_violence_in_the_United_States\""] [\""http://dbpedia.org/resource/Gun_politics_in_the_United_States\""]]""","WS"
"2258",2260,"trec-2013-40","law center to prevent gun violence","[[\http://dbpedia.org/resource/Legal_Community_Against_Violence\""]]""","WS"
"2262",2264,"trec-2013-42","gun violence us campuses","[[\http://dbpedia.org/resource/Gun_violence\""] [\""http://dbpedia.org/resource/Gun_politics_in_the_United_States\""] [\""http://dbpedia.org/resource/Campus\""]]""","WS"
"2263",2265,"trec-2013-42","most deadly type of gun in gun violence","[[\http://dbpedia.org/resource/Lethality\""] [\""http://dbpedia.org/resource/Gun\""] [\""http://dbpedia.org/resource/Gun_violence\""]]""","WS"
"2265",2267,"trec-2013-43","gun violence on US college campus","[[\http://dbpedia.org/resource/Gun_violence\""] [\""http://dbpedia.org/resource/Campus\""]]""","WS"
"2267",2269,"trec-2013-43","types of gun used in violent events","[[\http://dbpedia.org/resource/Gun\""] [\""http://dbpedia.org/resource/Violence\""]]""","WS"
"2269",2271,"trec-2013-44","healthy meals","[[\http://dbpedia.org/resource/Health\""] [\""http://dbpedia.org/resource/Meal\""]]""","WS"
"2270",2272,"trec-2013-44","healthy nutrition for infants","[[\http://dbpedia.org/resource/Nutrition\""] [\""http://dbpedia.org/resource/Infant\""]]""","WS"
"2272",2274,"trec-2013-45","red bull drink side effects ban","[[\http://dbpedia.org/resource/Red_Bull\""] [\""http://dbpedia.org/resource/Side_effect\""] [\""http://dbpedia.org/resource/Ban_(law)\""]]""","WS"
"2273",2275,"trec-2013-45","red bull ban","[[\http://dbpedia.org/resource/Red_Bull\""] [\""http://dbpedia.org/resource/Ban_(law)\""]]""","WS"
"2278",2280,"trec-2013-46","red bull drink","[[\http://dbpedia.org/resource/Red_Bull\""]]""","WS"
"2279",2281,"trec-2013-46","red bull ingridients","[[\http://dbpedia.org/resource/Red_Bull\""] [\""http://dbpedia.org/resource/Ingredient\""]]""","WS"
"2281",2283,"trec-2013-46","red bull in US","[[\http://dbpedia.org/resource/Red_Bull\""] [\""http://dbpedia.org/resource/United_States\""]]""","WS"
"2283",2285,"trec-2013-47","banned food","[[\http://dbpedia.org/resource/Ban_(law)\""] [\""http://dbpedia.org/resource/Food\""]]""","WS"
"2286",2288,"trec-2013-48","patent office","[[\http://dbpedia.org/resource/Patent_office\""]]""","WS"
"2287",2289,"trec-2013-48","patent law","[[\http://dbpedia.org/resource/Patent\""] [\""http://dbpedia.org/resource/Law\""]]""","WS"
"2289",2291,"trec-2013-48","patent lawyer","[[\http://dbpedia.org/resource/Patent\""] [\""http://dbpedia.org/resource/Lawyer\""]]""","WS"
"2290",2292,"trec-2013-48","provisional patent","[[\http://dbpedia.org/resource/Provisional_application\""] [\""http://dbpedia.org/resource/Patent\""]]""","WS"
"2294",2296,"trec-2013-50","fitness wiki","[[\http://dbpedia.org/resource/Physical_fitness\""] [\""http://dbpedia.org/resource/Wiki\""]]""","WS"
"2297",2299,"trec-2013-50","keto diet","[[\http://dbpedia.org/resource/Ketogenic_diet\""]]""","WS"
"2306",2308,"trec-2013-52","loans for business","[[\http://dbpedia.org/resource/Loan\""] [\""http://dbpedia.org/resource/Business\""]]""","WS"
"2308",2310,"trec-2013-52","renting a building business sillicon valley","[[\http://dbpedia.org/resource/Renting\""] [\""http://dbpedia.org/resource/Building\""] [\""http://dbpedia.org/resource/Business\""]]""","WS"
"2309",2311,"trec-2013-52","renting an office sillicon valley","[[\http://dbpedia.org/resource/Renting\""] [\""http://dbpedia.org/resource/Office\""]]""","WS"
"2311",2313,"trec-2013-53","tips pay raise","[[\http://dbpedia.org/resource/Tip_(gratuity)\""] [\""http://dbpedia.org/resource/Wage\""]]""","WS"
"2314",2316,"trec-2013-54","employee fraud best practice","[[\http://dbpedia.org/resource/Employment\""] [\""http://dbpedia.org/resource/Fraud\""] [\""http://dbpedia.org/resource/Best_practice\""]]""","WS"
"2317",2319,"trec-2013-55","evaluate employees","[[\http://dbpedia.org/resource/Evaluation\""] [\""http://dbpedia.org/resource/Employment\""]]""","WS"
"2319",2321,"trec-2013-56","events ideas student association","[[\http://dbpedia.org/resource/Event\""] [\""http://dbpedia.org/resource/Idea\""] [\""http://dbpedia.org/resource/Student\""] [\""http://dbpedia.org/resource/Association\""] [\""http://dbpedia.org/resource/Students'_union\""]]""","WS"
"2322",2324,"trec-2013-57","developmental milestones infants east asia","[[\http://dbpedia.org/resource/Human_development_(biology)\""] [\""http://dbpedia.org/resource/Milestone\""] [\""http://dbpedia.org/resource/Infant\""] [\""http://dbpedia.org/resource/East\""] [\""http://dbpedia.org/resource/Asia\""] [\""http://dbpedia.org/resource/Child_development_stages\""]]""","WS"
"2325",2327,"trec-2013-57","developmental milestones asian infants","[[\http://dbpedia.org/resource/Human_development_(biology)\""] [\""http://dbpedia.org/resource/Milestone\""]]""","WS"
"2328",2330,"trec-2013-57","asian infants development","[[\http://dbpedia.org/resource/Asian_people\""] [\""http://dbpedia.org/resource/Infant\""] [\""http://dbpedia.org/resource/Human_development_(biology)\""]]""","WS"
"2329",2331,"trec-2013-57","asian babies development","[[\http://dbpedia.org/resource/Asian_people\""] [\""http://dbpedia.org/resource/Infant\""] [\""http://dbpedia.org/resource/Human_development_(biology)\""]]""","WS"
"2331",2333,"trec-2013-57","are developmental milestones universal","[[\http://dbpedia.org/resource/Human_development_(biology)\""] [\""http://dbpedia.org/resource/Child_development_stages\""] [\""http://dbpedia.org/resource/Universal\""]]""","WS"
"2332",2334,"trec-2013-57","asian developmental milestones","[[\http://dbpedia.org/resource/Asian_people\""] [\""http://dbpedia.org/resource/Human_development_(biology)\""] [\""http://dbpedia.org/resource/Child_development_stages\""]]""","WS"
"2333",2335,"trec-2013-57","chinese infant developmental milestones","[[\http://dbpedia.org/resource/Chinese_people\""] [\""http://dbpedia.org/resource/Infant\""] [\""http://dbpedia.org/resource/Human_development_(biology)\""] [\""http://dbpedia.org/resource/Child_development_stages\""]]""","WS"
"2335",2337,"trec-2013-57","infant milestones variations","[[\http://dbpedia.org/resource/Infant\""] [\""http://dbpedia.org/resource/Child_development_stages\""] [\""http://dbpedia.org/resource/Variation\""]]""","WS"
"2336",2338,"trec-2013-57","infant milestones cultural","[[\http://dbpedia.org/resource/Infant\""] [\""http://dbpedia.org/resource/Child_development_stages\""] [\""http://dbpedia.org/resource/Culture\""]]""","WS"
"2337",2339,"trec-2013-57","infant milestones differences","[[\http://dbpedia.org/resource/Infant\""] [\""http://dbpedia.org/resource/Child_development_stages\""] [\""http://dbpedia.org/resource/Difference\""]]""","WS"
"2338",2340,"trec-2013-57","asian children milestones","[[\http://dbpedia.org/resource/Asian_people\""] [\""http://dbpedia.org/resource/Child\""] [\""http://dbpedia.org/resource/Child_development_stages\""]]""","WS"
"2340",2342,"trec-2013-58","'EUROPEAN UNION\ \""ECONOMIC CRISIS\""""","[[\http://dbpedia.org/resource/Financial_crisis\""]]""","WS"
"2342",2344,"trec-2013-58","'EUROPEAN UNION\ \""ECONOMIC CRISIS\"" portugal""","[[\http://dbpedia.org/resource/Financial_crisis\""] [\""http://dbpedia.org/resource/Portugal\""]]""","WS"
"2343",2345,"trec-2013-58","'EUROPEAN UNION\ \""ECONOMIC CRISIS\"" spain""","[[\http://dbpedia.org/resource/Financial_crisis\""] [\""http://dbpedia.org/resource/Spain\""]]""","WS"
"2345",2347,"trec-2013-59","eurozone crisis leader actions","[[\http://dbpedia.org/resource/European_sovereign-debt_crisis\""] [\""http://dbpedia.org/resource/Leadership\""] [\""http://dbpedia.org/resource/Action\""]]""","WS"
"2347",2349,"trec-2013-60","eurozone spain leader actions","[[\http://dbpedia.org/resource/Eurozone\""] [\""http://dbpedia.org/resource/Spain\""] [\""http://dbpedia.org/resource/Leadership\""]]""","WS"
"2348",2350,"trec-2013-60","spain spanish leader crisis action","[[\http://dbpedia.org/resource/Spain\""] [\""http://dbpedia.org/resource/Spanish_people\""] [\""http://dbpedia.org/resource/Leadership\""] [\""http://dbpedia.org/resource/Crisis\""]]""","WS"
"2349",2351,"trec-2013-60","ireland spanish leader crisis action","[[\http://dbpedia.org/resource/Ireland\""] [\""http://dbpedia.org/resource/Spanish_people\""] [\""http://dbpedia.org/resource/Leadership\""] [\""http://dbpedia.org/resource/Crisis\""]]""","WS"
"2350",2352,"trec-2013-60","ireland irish leader crisis action","[[\http://dbpedia.org/resource/Ireland\""] [\""http://dbpedia.org/resource/Irish\""] [\""http://dbpedia.org/resource/Leadership\""] [\""http://dbpedia.org/resource/Crisis\""]]""","WS"
"2351",2353,"trec-2013-60","piigs leader crisis action","[[\http://dbpedia.org/resource/PIGS_(economics)\""] [\""http://dbpedia.org/resource/Leadership\""] [\""http://dbpedia.org/resource/Crisis\""]]""","WS"
"2352",2354,"trec-2013-60","cyprus leader crisis action","[[\http://dbpedia.org/resource/Cyprus\""] [\""http://dbpedia.org/resource/Leadership\""] [\""http://dbpedia.org/resource/Crisis\""]]""","WS"
"2354",2356,"trec-2013-61","round-trip advantages versus road-trip","[[\http://dbpedia.org/resource/Round_trip\""] [\""http://dbpedia.org/resource/Advantage\""] [\""http://dbpedia.org/resource/Versus\""] [\""http://dbpedia.org/resource/Road_trip\""]]""","WS"
"2355",2357,"trec-2013-61","round-trip enjoyable versus road-trip","[[\http://dbpedia.org/resource/Round_trip\""] [\""http://dbpedia.org/resource/Versus\""] [\""http://dbpedia.org/resource/Road_trip\""]]""","WS"
"2360",2362,"trec-2013-62","romantic road trips","[[\http://dbpedia.org/resource/Romance\""] [\""http://dbpedia.org/resource/Road_trip\""]]""","WS"
"2361",2363,"trec-2013-62","enjoyable boring road trip","[[\http://dbpedia.org/resource/Boredom\""]]""","WS"
"2362",2364,"trec-2013-62","enjoyable boring getaways","[[\http://dbpedia.org/resource/Boredom\""] [\""http://dbpedia.org/resource/Getaway\""]]""","WS"
"2363",2365,"trec-2013-62","best getaways","[[\http://dbpedia.org/resource/Best\""] [\""http://dbpedia.org/resource/Getaway\""]]""","WS"
"2372",2374,"trec-2013-63","Voip reviews","[[\http://dbpedia.org/resource/Voice_over_IP\""] [\""http://dbpedia.org/resource/Review\""]]""","WS"
"2377",2379,"trec-2013-65","gun control outcomes","[[\http://dbpedia.org/resource/Gun_control\""] [\""http://dbpedia.org/resource/Outcome\""]]""","WS"
"2378",2380,"trec-2013-65","ban guns","[[\http://dbpedia.org/resource/Gun_control\""] [\""http://dbpedia.org/resource/Gun\""]]""","WS"
"2381",2383,"trec-2013-66","does gun control reduce gun violence","[[\http://dbpedia.org/resource/Gun_control\""] [\""http://dbpedia.org/resource/Reduction\""] [\""http://dbpedia.org/resource/Gun\""] [\""http://dbpedia.org/resource/Violence\""]]""","WS"
"2385",2387,"trec-2013-67","naturalism theism","[[\http://dbpedia.org/resource/Naturalism_(philosophy)\""] [\""http://dbpedia.org/resource/Theism\""]]""","WS"
"2387",2389,"trec-2013-68","US healthcare system","[[\http://dbpedia.org/resource/Health_care_in_the_United_States\""]]""","WS"
"2388",2390,"trec-2013-68","us healthcare for employed","[[\http://dbpedia.org/resource/Health_care_in_the_United_States\""] [\""http://dbpedia.org/resource/Employment\""]]""","WS"
"2389",2391,"trec-2013-68","how does healthcare work in the USA for employed people?","[[\http://dbpedia.org/resource/Health_care\""] [\""http://dbpedia.org/resource/Manual_labour\""] [\""http://dbpedia.org/resource/United_States\""] [\""http://dbpedia.org/resource/Employment\""] [\""http://dbpedia.org/resource/People\""]]""","WS"
"2393",2395,"trec-2013-69","malaria donations","[[\http://dbpedia.org/resource/Malaria\""] [\""http://dbpedia.org/resource/Donation\""]]""","WS"
"2397",2399,"trec-2013-70","AIDS Africa charity donate","[[\http://dbpedia.org/resource/HIV/AIDS\""] [\""http://dbpedia.org/resource/Africa\""] [\""http://dbpedia.org/resource/Charity_(practice)\""] [\""http://dbpedia.org/resource/Donation\""]]""","WS"
